Timestamp,unit selection,Description of the problem (keywords must be standardized),What are the keywords used?
3/13/2022 19:20:19,Graduation Project Unit,"- I face a problem about graduation project, how can I solve it? 
- Can you help me with the graduation project?
- We need to meet someone to help us with our project.",Project 
3/13/2022 19:21:48,Graduation Project Unit,"I need help with the graduation project.
Who is responsible for the graduation project? 
We need to schedule a meeting about the graduation project.
Can we have a chat with you to discuss a problem with the graduation project?",Graduation  
3/13/2022 19:22:51,Graduation Project Unit,"Can we change our supervisor? 
What should we do if we want to change our supervisor?
If we have problems with our supervisor, who should we talk to about it? 
Can you provide us with the supervisor's list?
We couldn't find a supervisor, what should we do? We couldn't have a supervisor, can you help us? ",Supervisor
3/13/2022 19:24:06,Graduation Project Unit,"Can we know who will be our evaluators? 
Can we change our evaluates? 
We think our evaluates are not fair about the grade/ the feedback, we need someone else to review our project. ",Evaluators
3/13/2022 19:24:46,Graduation Project Unit,"Can we extend the deadline for the midterm report? 
Can we extend the deadline with the final report? If we sent a wrong report and the deadline was passed, can we send the correct one? 
The feedback about our report was not fair, we need another reviewer.",Report
3/13/2022 19:25:28,Graduation Project Unit,"Can we extend the deadline for the midterm report? 
If we have another template for the midterm report, can we use it? 
Does the midterm report have grades? Or is it just feedbacks?",Midterm 
3/13/2022 19:26:15,Graduation Project Unit,"Can we extend the deadline for the final report? 
If we have another template for the final report, can we use it?
 If we sent the wrong file for the final report, can we send the correct one after that? 
We Need another evaluates to review the final report. ",Final
3/13/2022 20:45:27,Graduation Project Unit,"I have a problem with the project proposal. 
I have an issue with project proposal. 
Is the project proposal grade-separated from project implementation? ",proposal
3/13/2022 20:45:55,Graduation Project Unit,"I have problem with project implementation. 
I have an issue with project implementation. 
Can we change or add some ideas in the project implementation? 
Are there anyone could help us in implementation phase? ",implementation
3/13/2022 20:46:28,Graduation Project Unit,"Do we need to create a survey for the graduation project? 
Where should we distribute the survey of the graduation project? 
Is there any survey that could help us to decide? ",survey
3/13/2022 20:46:56,Graduation Project Unit,"Is the publication of the graduation project mandatory? 
Are their funders for the publication? 
Where can we find a supporter for the publication? Are their any sites or places for publication? 
Who's responsible for the publication in the university?",publication
3/13/2022 20:47:23,Graduation Project Unit,"Is there any site to publish a journal? 
How can we know if the journal will be the best for publishing our project? 
Does the University support us with the journal publication price?",journal
3/13/2022 20:47:54,Graduation Project Unit,"Is there any site to publish a poster? 
Is there any available session for publishing a poster? 
How can we know if the poster will be the best for publishing our project? 
Does the University support us with the poster publication price?",Poster
3/13/2022 20:48:26,Graduation Project Unit,"Is there any site to publish a conference? 
How can we know if the conference will be the best for publishing our project? 
Does the University support us with the conference publication price?",conference
3/13/2022 20:49:01,Graduation Project Unit,"I couldn't find a group for the graduation project. My group does not support me, what should I do? My graduation project group...
How can I add the graduation project group to the backboard? 
What is the maximum graduation project group number? ",Group 
3/14/2022 12:27:16,Academic Affairs Unit,how i can nominate myself for the students consult ,"nominate , students consult "
3/14/2022 12:28:01,Academic Affairs Unit,( I didn’t register and know the link invalid),Link invalid
